,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,Aynaelda,4.5,"Calle los Yébenes, 38, 28047 Madrid, Spain",Spanish ,,aynaelda-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/fdWAfbKRw5oVH0IFznPwng/o.jpg,False,6,40.395977,-3.754116,"{'address1': 'Calle los Yébenes, 38', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle los Yébenes, 38', '28047 Madrid', 'Spain']}",+34 917 10 10 51,€€,,[],,,,,,,
1,Alegría,3.5,"Calle de Illescas, 98, 28047 Madrid, Spain",Chinese ,,alegría-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/RWF8qyHshszvuMk3azpxMw/o.jpg,False,2,40.38987,-3.75272,"{'address1': 'Calle de Illescas, 98', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Illescas, 98', '28047 Madrid', 'Spain']}",+34 917 18 19 27,,,[],,,,,,,
2,Passaparola L´Originale,4.5,"Calle de Guareña, 10, 28044 Madrid, Spain",Italian ,,passaparola-l-originale-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/u7S9boczgasMCmtaCjsXIw/o.jpg,False,6,40.388037,-3.766055,"{'address1': 'Calle de Guareña, 10', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28044', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Guareña, 10', '28044 Madrid', 'Spain']}",+34 915 09 50 91,€€,,[],,,,,,,
3,El Timón del Terraza,4.5,"Calle de Camarena, 254, 28047 Madrid, Spain",Arroceria / Paella Mediterranean ,,el-timón-del-terraza-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/tZxAM6F-ySlNrhQFvv10cw/o.jpg,False,3,40.38679,-3.75789,"{'address1': 'Calle de Camarena, 254', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Camarena, 254', '28047 Madrid', 'Spain']}",+34 917 18 16 50,,,[],,,,,,,
4,Pikondo,3.5,"Calle de Ocaña, 112, 28047 Madrid, Spain",Basque ,,pikondo-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/0dm6dp3BtWTtwhWyTWub2g/o.jpg,False,2,40.3871449178572,-3.7519316265199,"{'address1': 'Calle de Ocaña, 112', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Ocaña, 112', '28047 Madrid', 'Spain']}",+34 911 72 07 45,€€,,[],,,,,,,
5,Botafumeiro,4.0,"Calle de la Parra, 42, 28025 Madrid, Spain",Tapas Bars Dive Bars Spanish ,Look no further if you're in the Oporto area and in search for some value sized tapas and fresh seafood. The folks here at Botafumeiro will take care of you.... Excellent Service for our party of 7. We tried the best plates and were pleased with the quality. Delicious Cava sparkling and Albariño white wine.... ,botafumeiro-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/rANBOac3PBoAfvPB_IfIgw/o.jpg,False,9,40.38727,-3.73142,"{'address1': 'Calle de la Parra, 42', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28025', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Parra, 42', '28025 Madrid', 'Spain']}",+34 914 72 70 54,€,,[],,,,,,,
6,Acueducto,4.0,"Calle de Camarena, 280, 28047 Madrid, Spain",Tapas Bars ,,acueducto-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/8WdB67ELNQDpg8kVYDrK2g/o.jpg,False,4,40.38753,-3.75658,"{'address1': 'Calle de Camarena, 280', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Camarena, 280', '28047 Madrid', 'Spain']}",+34 917 17 38 48,€,,[],,,,,,,
7,Punto de Encuentro,4.5,"Calle de Maqueda, 136, 28024 Madrid, Spain",Tapas Bars Pubs ,,punto-de-encuentro-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/b8eYjFpsc2_qtdCtyoD-Wg/o.jpg,False,8,40.38737,-3.761658,"{'address1': 'Calle de Maqueda, 136', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28024', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Maqueda, 136', '28024 Madrid', 'Spain']}",+34 917 19 48 05,€,,[],,,,,,,
8,Novecento,4.5,"Calle de Camarena, 107, 28047 Madrid, Spain",Italian Pizza ,,novecento-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/9vv0FVRnABwoYV0l04GTOA/o.jpg,False,2,40.39211,-3.7553,"{'address1': 'Calle de Camarena, 107', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Camarena, 107', '28047 Madrid', 'Spain']}",+34 917 19 06 30,,,[],,,,,,,
9,Vukata,3.5,"Calle Maqueda, 138, 28024 Madrid, Spain",Steakhouses ,,vukata-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/R32th8WkXHEFoaAGKxOKgQ/o.jpg,False,2,40.3873596,-3.7616601,"{'address1': 'Calle Maqueda, 138', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28024', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Maqueda, 138', '28024 Madrid', 'Spain']}",+34 915 09 85 76,€€,,[],,,,,,,
